"f_1(U_f_1), créé par Plot Digitizer, 2.6.9"
"Date: 6/12/21, 21:22:06"


24
U_f_1,f_1
3.74178,0.804678,
3.81019,0.825653,
3.85996,0.843407,
3.94662,0.832024,
4.05882,0.891782,
4.22617,0.891662,
4.33802,0.917458,
4.40027,0.943289,
4.62988,0.969000,
4.82220,0.985035,
4.97724,0.993010,
5.09503,0.994542,
5.31810,0.987913,
5.45429,0.971642,
5.60320,0.986091,
5.73339,0.987614,
5.87613,1.00530,
6.04947,0.984153,
6.13628,0.987325,
6.26024,0.987236,
6.33744,1.25403,
6.42442,1.27337,
6.69141,1.31685,
6.80352,1.36852,
